iter	Passed	Remaining
818	33878	7487
819	33925	7446
820	33964	7405
821	34003	7363
822	34049	7322
823	34098	7283
824	34136	7241
825	34173	7198
826	34228	7160
827	34279	7120
828	34353	7086
829	34415	7048
830	34473	7010
831	34522	6970
832	34563	6929
833	34600	6886
834	34642	6845
835	34681	6803
836	34727	6762
837	34772	6722
838	34815	6680
839	34853	6638
840	34920	6602
841	34973	6562
842	35010	6520
843	35044	6477
844	35086	6435
845	35123	6393
846	35168	6352
847	35212	6311
848	35248	6269
849	35285	6226
850	35322	6184
851	35360	6142
852	35402	6100
853	35449	6060
854	35497	6019
855	35546	5979
856	35587	5938
857	35629	5896
858	35679	5856
859	35718	5814
860	35753	5772
861	35793	5730
862	35829	5687
863	35878	5647
864	35933	5608
865	35971	5566
866	36011	5524
867	36047	5481
868	36088	5440
869	36130	5398
870	36170	5357
871	36213	5315
872	36255	5274
873	36301	5233
874	36349	5192
875	36395	5151
876	36442	5111
877	36494	5071
878	36542	5030
879	36596	4990
880	36642	4949
881	36690	4908
882	36732	4867
883	36778	4826
884	36826	4785
885	36875	4744
886	36916	4702
887	36953	4660
888	36994	4619
889	37038	4577
890	37080	4536
891	37120	4494
892	37154	4451
893	37191	4409
894	37239	4368
895	37288	4328
896	37328	4286
897	37367	4244
898	37405	4202
899	37443	4160
900	37493	4119
901	37536	4078
902	37573	4036
903	37612	3994
904	37651	3952
905	37697	3911
906	37754	3871
907	37804	3830
908	37850	3789
909	37901	3748
910	37947	3707
911	37986	3665
912	38025	3623
913	38062	3581
914	38101	3539
915	38151	3498
916	38196	3457
917	38233	3415
918	38266	3372
919	38310	3331
920	38357	3290
921	38406	3249
922	38452	3207
923	38489	3165
924	38528	3123
925	38565	3081
926	38610	3040
927	38657	2999
928	38695	2957
929	38731	2915
930	38769	2873
931	38810	2831
932	38885	2792
933	38949	2752
934	38991	2710
935	39034	2669
936	39076	2627
937	39115	2585
938	39158	2543
939	39194	2501
940	39236	2460
941	39273	2418
942	39311	2376
943	39356	2334
944	39403	2293
945	39440	2251
946	39476	2209
947	39512	2167
948	39549	2125
949	39592	2083
950	39637	2042
951	39674	2000
952	39710	1958
953	39747	1916
954	39788	1874
955	39850	1834
956	39887	1792
957	39931	1750
958	39969	1708
959	40014	1667
960	40049	1625
961	40107	1584
962	40156	1542
963	40199	1501
964	40237	1459
965	40278	1417
966	40311	1375
967	40356	1334
968	40393	1292
969	40437	1250
970	40474	1208
971	40513	1167
972	40549	1125
973	40591	1083
974	40637	1041
975	40675	1000
976	40710	958
977	40749	916
978	40787	874
979	40847	833
980	40895	792
981	40936	750
982	40973	708
983	41011	666
984	41049	625
985	41089	583
986	41139	541
987	41189	500
988	41232	458
989	41267	416
990	41307	375
991	41358	333
992	41395	291
993	41431	250
994	41466	208
995	41500	166
996	41542	125
997	41594	83
998	41631	41
999	41666	0
